# schema=1
1101	0|1|5|6|7|10|12|14|17|18|23|4001|4002|4006|4007|4008|4011|4013|4015|4018|4019|4023|4024|4028|4029|4030|4033|4035|4037|4040|4041|4045	any	2	EQP_WEAPON	0	0	1	3
1102	0|1|5|6|7|10|12|14|17|18|23|4001|4002|4006|4007|4008|4011|4013|4015|4018|4019|4023|4024|4028|4029|4030|4033|4035|4037|4040|4041|4045	any	2	EQP_WEAPON	0	0	1	4
1103	0|1|5|6|7|10|12|14|17|18|23|4001|4002|4006|4007|4008|4011|4013|4015|4018|4019|4023|4024|4028|4029|4030|4033|4035|4037|4040|4041|4045	any	2	EQP_WEAPON	0	0	1	0
1104	0|1|5|6|7|10|12|14|17|18|23|4001|4002|4006|4007|4008|4011|4013|4015|4018|4019|4023|4024|4028|4029|4030|4033|4035|4037|4040|4041|4045	any	2	EQP_WEAPON	0	0	1	3
1105	0|1|5|6|7|10|12|14|17|18|23|4001|4002|4006|4007|4008|4011|4013|4015|4018|4019|4023|4024|4028|4029|4030|4033|4035|4037|4040|4041|4045	any	2	EQP_WEAPON	0	0	1	4
1106	0|1|5|6|7|10|12|14|17|18|23|4001|4002|4006|4007|4008|4011|4013|4015|4018|4019|4023|4024|4028|4029|4030|4033|4035|4037|4040|4041|4045	any	2	EQP_WEAPON	0	0	1	0
1107	0|1|5|6|7|10|12|14|17|18|23|4001|4002|4006|4007|4008|4011|4013|4015|4018|4019|4023|4024|4028|4029|4030|4033|4035|4037|4040|4041|4045	any	2	EQP_WEAPON	0	0	1	3
1108	0|1|5|6|7|10|12|14|17|18|23|4001|4002|4006|4007|4008|4011|4013|4015|4018|4019|4023|4024|4028|4029|4030|4033|4035|4037|4040|4041|4045	any	2	EQP_WEAPON	0	0	1	4
1109	0|1|5|6|7|10|12|14|17|18|23|4001|4002|4006|4007|4008|4011|4013|4015|4018|4019|4023|4024|4028|4029|4030|4033|4035|4037|4040|4041|4045	any	2	EQP_WEAPON	0	0	1	0
1110	0|1|5|6|7|10|12|14|17|18|23|4001|4002|4006|4007|4008|4011|4013|4015|4018|4019|4023|4024|4028|4029|4030|4033|4035|4037|4040|4041|4045	any	14	EQP_WEAPON	0	0	2	2
1111	0|1|5|6|7|10|12|14|17|18|23|4001|4002|4006|4007|4008|4011|4013|4015|4018|4019|4023|4024|4028|4029|4030|4033|4035|4037|4040|4041|4045	any	14	EQP_WEAPON	0	0	2	3
1112	0|1|5|6|7|10|12|14|17|18|23|4001|4002|4006|4007|4008|4011|4013|4015|4018|4019|4023|4024|4028|4029|4030|4033|4035|4037|4040|4041|4045	any	14	EQP_WEAPON	0	0	2	0
1113	0|1|5|6|7|10|12|14|17|18|23|4001|4002|4006|4007|4008|4011|4013|4015|4018|4019|4023|4024|4028|4029|4030|4033|4035|4037|4040|4041|4045	any	14	EQP_WEAPON	0	0	2	2
1114	0|1|5|6|7|10|12|14|17|18|23|4001|4002|4006|4007|4008|4011|4013|4015|4018|4019|4023|4024|4028|4029|4030|4033|4035|4037|4040|4041|4045	any	14	EQP_WEAPON	0	0	2	3
1115	0|1|5|6|7|10|12|14|17|18|23|4001|4002|4006|4007|4008|4011|4013|4015|4018|4019|4023|4024|4028|4029|4030|4033|4035|4037|4040|4041|4045	any	14	EQP_WEAPON	0	0	2	3
1116	1|7|14|4002|4008|4015|4024|4030|4037	any	4	EQP_ARMS	0	0	1	3
1117	1|7|14|4002|4008|4015|4024|4030|4037	any	4	EQP_ARMS	0	0	1	4
1118	1|7|14|4002|4008|4015|4024|4030|4037	any	4	EQP_ARMS	0	0	1	0
1119	1|5|6|7|10|12|14|17|18|4002|4006|4007|4008|4011|4013|4015|4018|4019|4024|4028|4029|4030|4033|4035|4037|4040|4041	any	27	EQP_WEAPON	0	0	3	1
1120	1|5|6|7|10|12|14|17|18|4002|4006|4007|4008|4011|4013|4015|4018|4019|4024|4028|4029|4030|4033|4035|4037|4040|4041	any	27	EQP_WEAPON	0	0	3	2
1121	1|5|6|7|10|12|14|17|18|4002|4006|4007|4008|4011|4013|4015|4018|4019|4024|4028|4029|4030|4033|4035|4037|4040|4041	any	27	EQP_WEAPON	0	0	3	0
1122	1|5|6|7|10|12|14|17|18|4002|4006|4007|4008|4011|4013|4015|4018|4019|4024|4028|4029|4030|4033|4035|4037|4040|4041	any	14	EQP_WEAPON	0	0	2	2
1123	1|5|6|7|10|12|14|17|18|4002|4006|4007|4008|4011|4013|4015|4018|4019|4024|4028|4029|4030|4033|4035|4037|4040|4041	any	27	EQP_WEAPON	0	0	3	1
1124	0|1|5|6|7|10|12|14|17|18|23|4001|4002|4006|4007|4008|4011|4013|4015|4018|4019|4023|4024|4028|4029|4030|4033|4035|4037|4040|4041|4045	any	5	EQP_WEAPON	0	0	3	0
